academic_progress_id,student_id,number_of_courses,attendance_percentage,assignment,total_required_attendance,classes_attended
AP001,S001,3,90.0,C1,30,27
AP002,S002,3,66.66666666666666,B1,42,28
AP003,S003,2,55.00000000000001,B2,20,11
AP004,S004,3,93.33333333333333,A1,45,42
AP005,S005,1,91.66666666666666,C2,12,11
AP006,S006,3,58.333333333333336,Fail,24,14
AP007,S007,1,75.0,Fail,12,9
AP008,S008,3,66.66666666666666,Fail,24,16
AP009,S009,1,87.5,B1,8,7
AP010,S010,2,80.0,A1,30,24
AP011,S011,3,43.333333333333336,B1,30,13
AP012,S012,1,70.0,B2,10,7
AP013,S013,2,83.33333333333334,Fail,30,25
AP014,S014,2,45.45454545454545,C2,22,10
AP015,S015,1,75.0,C2,8,6
AP016,S016,3,83.33333333333334,B2,24,20
AP017,S017,1,77.77777777777779,B1,9,7
AP018,S018,3,95.23809523809523,Fail,42,40
AP019,S019,3,54.54545454545454,B2,33,18
AP020,S020,3,82.05128205128204,C1,39,32
AP021,S021,1,66.66666666666666,C1,12,8
AP022,S022,3,61.111111111111114,C1,36,22
AP023,S023,3,69.23076923076923,A1,39,27
AP024,S024,3,84.61538461538461,Fail,39,33
AP025,S025,2,83.33333333333334,Fail,18,15
AP026,S026,1,66.66666666666666,C2,9,6
AP027,S027,1,54.54545454545454,A1,11,6
AP028,S028,1,77.77777777777779,C1,9,7
AP029,S029,2,79.16666666666666,C2,24,19
AP030,S030,2,43.333333333333336,B2,30,13
AP031,S031,1,62.5,C1,8,5
AP032,S032,1,78.57142857142857,C1,14,11
AP033,S033,3,69.44444444444444,C2,36,25
AP034,S034,1,73.33333333333333,C2,15,11
AP035,S035,1,58.333333333333336,A1,12,7
AP036,S036,3,86.66666666666667,C2,30,26
AP037,S037,2,73.33333333333333,C2,30,22
AP038,S038,2,75.0,C1,16,12
AP039,S039,1,50.0,B2,12,6
AP040,S040,2,82.14285714285714,A2,28,23
AP041,S041,3,60.60606060606061,C1,33,20
AP042,S042,2,62.5,A1,16,10
AP043,S043,1,66.66666666666666,A1,12,8
AP044,S044,2,77.77777777777779,C2,18,14
AP045,S045,1,70.0,A2,10,7
AP046,S046,3,91.66666666666666,B2,24,22
AP047,S047,2,60.0,A1,30,18
AP048,S048,2,80.0,A1,30,24
AP049,S049,1,57.14285714285714,B2,14,8
AP050,S050,2,83.33333333333334,Fail,30,25
AP051,S051,2,83.33333333333334,A1,18,15
AP052,S052,3,63.63636363636363,A2,33,21
AP053,S053,3,82.05128205128204,A2,39,32
AP054,S054,1,46.15384615384615,B1,13,6
AP055,S055,1,58.333333333333336,Fail,12,7
AP056,S056,3,74.07407407407408,B1,27,20
AP057,S057,2,76.92307692307693,C2,26,20
AP058,S058,1,50.0,B2,12,6
AP059,S059,3,62.5,Fail,24,15
AP060,S060,1,66.66666666666666,C2,9,6
AP061,S061,1,90.0,Fail,10,9
AP062,S062,3,76.19047619047619,B1,42,32
AP063,S063,3,86.11111111111111,A2,36,31
AP064,S064,3,64.28571428571429,A2,42,27
AP065,S065,3,70.37037037037037,B2,27,19
AP066,S066,2,83.33333333333334,C1,18,15
AP067,S067,1,84.61538461538461,B1,13,11
AP068,S068,1,81.81818181818183,A1,11,9
AP069,S069,3,68.88888888888889,C1,45,31
AP070,S070,2,83.33333333333334,B1,30,25
AP071,S071,1,86.66666666666667,Fail,15,13
AP072,S072,3,84.61538461538461,B1,39,33
AP073,S073,1,71.42857142857143,C2,14,10
AP074,S074,2,62.5,C2,24,15
AP075,S075,1,61.53846153846154,A2,13,8
AP076,S076,2,68.75,B1,16,11
AP077,S077,1,88.88888888888889,Fail,9,8
AP078,S078,1,87.5,B2,8,7
AP079,S079,2,63.33333333333333,A1,30,19
AP080,S080,3,86.11111111111111,B1,36,31
AP081,S081,3,43.333333333333336,Fail,30,13
AP082,S082,2,55.55555555555556,A2,18,10
AP083,S083,1,73.33333333333333,Fail,15,11
AP084,S084,1,70.0,C1,10,7
AP085,S085,2,89.28571428571429,C1,28,25
AP086,S086,1,75.0,C2,8,6
AP087,S087,2,70.83333333333334,B1,24,17
AP088,S088,2,76.66666666666667,A1,30,23
AP089,S089,3,73.33333333333333,Fail,30,22
AP090,S090,2,45.45454545454545,Fail,22,10
AP091,S091,1,75.0,B1,8,6
AP092,S092,1,80.0,C1,10,8
AP093,S093,1,46.666666666666664,B2,15,7
AP094,S094,2,77.27272727272727,B1,22,17
AP095,S095,2,96.66666666666667,B2,30,29
AP096,S096,1,70.0,C1,10,7
AP097,S097,2,100.0,C2,26,26
AP098,S098,3,91.66666666666666,B2,24,22
AP099,S099,3,43.58974358974359,A2,39,17
AP100,S100,1,81.81818181818183,Fail,11,9
AP101,S101,3,85.18518518518519,A2,27,23
AP102,S102,1,75.0,C1,8,6
AP103,S103,2,59.09090909090909,Fail,22,13
AP104,S104,3,88.88888888888889,B1,36,32
AP105,S105,2,46.15384615384615,Fail,26,12
AP106,S106,2,76.92307692307693,C1,26,20
AP107,S107,1,72.72727272727273,A1,11,8
AP108,S108,2,85.0,A2,20,17
AP109,S109,3,81.81818181818183,Fail,33,27
AP110,S110,1,85.71428571428571,B1,14,12
AP111,S111,3,96.29629629629629,A1,27,26
AP112,S112,2,56.25,B1,16,9
AP113,S113,3,87.17948717948718,C2,39,34
AP114,S114,2,66.66666666666666,B1,18,12
AP115,S115,2,50.0,Fail,20,10
AP116,S116,1,85.71428571428571,A2,14,12
AP117,S117,2,76.92307692307693,A1,26,20
AP118,S118,3,68.88888888888889,B1,45,31
AP119,S119,3,63.888888888888886,C1,36,23
AP120,S120,1,66.66666666666666,C2,15,10
AP121,S121,2,83.33333333333334,C1,18,15
AP122,S122,1,80.0,A2,10,8
AP123,S123,2,75.0,C2,28,21
AP124,S124,3,54.761904761904766,B1,42,23
AP125,S125,1,45.45454545454545,B1,11,5
AP126,S126,2,88.88888888888889,B1,18,16
AP127,S127,2,54.166666666666664,A1,24,13
AP128,S128,2,44.44444444444444,Fail,18,8
AP129,S129,1,87.5,C1,8,7
AP130,S130,2,50.0,A1,30,15
AP131,S131,3,69.23076923076923,B2,39,27
AP132,S132,3,66.66666666666666,B2,39,26
AP133,S133,3,83.33333333333334,B2,24,20
AP134,S134,3,84.84848484848484,C2,33,28
AP135,S135,1,83.33333333333334,A1,12,10
AP136,S136,2,90.9090909090909,Fail,22,20
AP137,S137,1,84.61538461538461,C1,13,11
AP138,S138,1,86.66666666666667,A1,15,13
AP139,S139,2,61.111111111111114,B2,18,11
AP140,S140,2,100.0,C2,16,16
AP141,S141,1,88.88888888888889,A1,9,8
AP142,S142,2,89.28571428571429,B1,28,25
AP143,S143,1,73.33333333333333,C2,15,11
AP144,S144,1,83.33333333333334,Fail,12,10
AP145,S145,3,71.42857142857143,A1,42,30
AP146,S146,3,61.111111111111114,B2,36,22
AP147,S147,2,42.30769230769231,B1,26,11
AP148,S148,3,73.33333333333333,C1,45,33
AP149,S149,1,50.0,A1,12,6
AP150,S150,3,50.0,A1,42,21
AP151,S151,2,90.0,A1,20,18
AP152,S152,3,88.88888888888889,B1,27,24
AP153,S153,3,64.1025641025641,A2,39,25
AP154,S154,3,58.333333333333336,B2,24,14
AP155,S155,2,60.0,A2,20,12
AP156,S156,1,80.0,C1,15,12
AP157,S157,3,50.0,C1,42,21
AP158,S158,2,75.0,A2,20,15
AP159,S159,2,85.71428571428571,B2,28,24
AP160,S160,3,75.55555555555556,A2,45,34
AP161,S161,2,83.33333333333334,B2,18,15
AP162,S162,1,75.0,B2,8,6
AP163,S163,2,55.00000000000001,Fail,20,11
AP164,S164,2,87.5,Fail,16,14
AP165,S165,1,90.0,C2,10,9
AP166,S166,1,72.72727272727273,A2,11,8
AP167,S167,1,77.77777777777779,A1,9,7
AP168,S168,3,78.78787878787878,B2,33,26
AP169,S169,3,55.55555555555556,B2,27,15
AP170,S170,2,87.5,B2,16,14
AP171,S171,1,54.54545454545454,Fail,11,6
AP172,S172,1,81.81818181818183,B1,11,9
AP173,S173,2,81.81818181818183,B1,22,18
AP174,S174,1,75.0,B1,8,6
AP175,S175,3,74.35897435897436,C1,39,29
AP176,S176,1,80.0,Fail,10,8
AP177,S177,3,58.333333333333336,C1,36,21
AP178,S178,2,75.0,A2,28,21
AP179,S179,1,60.0,A1,15,9
AP180,S180,2,56.25,B1,16,9
AP181,S181,1,80.0,A1,15,12
AP182,S182,3,77.77777777777779,A2,36,28
