request_id,student_id,reason,category,request_date
RQ001,S001,Mentor Unavailability / Meeting Canceled by Mentor,meeting,2025-04-11
RQ002,S002,Mental Health Leave / Counselling,attendance,2025-05-30
RQ003,S002,Family Emergency,attendance,2025-05-31
RQ004,S002,Family Emergency,attendance,2025-06-14
RQ005,S002,Family Emergency,assignment,2025-05-07
RQ006,S003,Corporate Overwork / High Workload,attendance,2025-06-15
RQ007,S003,Family Emergency,meeting,2025-06-20
RQ008,S003,Miscommunication or Delay in Assignment Communication,assignment,2025-06-17
RQ009,S004,Family Emergency,assignment,2025-05-14
RQ010,S004,Mentor Unavailability / Meeting Canceled by Mentor,meeting,2025-06-13
RQ011,S004,Visa or Legal Paperwork Delays,attendance,2025-05-27
RQ012,S004,Family Emergency,attendance,2025-05-19
RQ013,S005,Corporate Overwork / High Workload,attendance,2025-06-08
RQ014,S005,Family Emergency,assignment,2025-05-06
RQ015,S007,Medical Emergency,attendance,2025-04-17
RQ016,S007,Mentor Unavailability / Meeting Canceled by Mentor,meeting,2025-05-13
RQ017,S007,Family Emergency,meeting,2025-05-15
RQ018,S007,"Approved Leave (Vacation, Wedding, etc.)",attendance,2025-06-23
RQ019,S008,Visa or Legal Paperwork Delays,attendance,2025-05-10
RQ020,S012,"Approved Leave (Vacation, Wedding, etc.)",attendance,2025-04-01
RQ021,S012,Medical Emergency,assignment,2025-05-09
RQ022,S013,Visa or Legal Paperwork Delays,attendance,2025-04-13
RQ023,S013,Corporate Overwork / High Workload,attendance,2025-05-24
RQ024,S013,Family Emergency,attendance,2025-05-30
RQ025,S013,Medical Emergency,assignment,2025-04-27
RQ026,S014,Corporate Overwork / High Workload,attendance,2025-05-21
RQ027,S014,Family Emergency,meeting,2025-06-23
RQ028,S015,Medical Emergency,meeting,2025-04-11
RQ029,S016,Family Emergency,assignment,2025-04-11
RQ030,S016,Mentor Unavailability / Meeting Canceled by Mentor,meeting,2025-06-14
RQ031,S016,Medical Emergency,meeting,2025-05-10
RQ032,S016,Corporate Overwork / High Workload,attendance,2025-04-23
RQ033,S017,Medical Emergency,meeting,2025-05-10
RQ034,S018,Family Emergency,attendance,2025-06-20
RQ035,S018,Medical Emergency,assignment,2025-06-18
RQ036,S020,Extension Approved by Academic Mentor,assignment,2025-06-14
RQ037,S020,"Approved Leave (Vacation, Wedding, etc.)",attendance,2025-05-09
RQ038,S021,Medical Emergency,attendance,2025-04-09
RQ039,S021,Corporate Overwork / High Workload,meeting,2025-04-11
RQ040,S021,Corporate Overwork / High Workload,meeting,2025-04-25
RQ041,S022,Extension Approved by Academic Mentor,assignment,2025-04-19
RQ042,S022,Miscommunication or Delay in Assignment Communication,assignment,2025-06-10
RQ043,S023,Miscommunication or Delay in Assignment Communication,assignment,2025-04-17
RQ044,S023,Medical Emergency,meeting,2025-04-05
RQ045,S023,Miscommunication or Delay in Assignment Communication,assignment,2025-05-20
RQ046,S024,Medical Emergency,attendance,2025-06-07
RQ047,S024,Extension Approved by Academic Mentor,assignment,2025-05-24
RQ048,S024,Visa or Legal Paperwork Delays,attendance,2025-05-07
RQ049,S024,Mentor Unavailability / Meeting Canceled by Mentor,meeting,2025-05-07
RQ050,S025,Corporate Overwork / High Workload,attendance,2025-05-21
RQ051,S025,Medical Emergency,attendance,2025-04-21
RQ052,S025,Family Emergency,attendance,2025-06-20
RQ053,S025,Family Emergency,assignment,2025-04-18
RQ054,S026,Miscommunication or Delay in Assignment Communication,assignment,2025-06-20
RQ055,S026,"Approved Leave (Vacation, Wedding, etc.)",attendance,2025-04-11
RQ056,S026,Corporate Overwork / High Workload,meeting,2025-06-21
RQ057,S026,Family Emergency,assignment,2025-04-16
RQ058,S028,Family Emergency,attendance,2025-04-16
RQ059,S029,Corporate Overwork / High Workload,assignment,2025-04-16
RQ060,S030,Miscommunication or Delay in Assignment Communication,assignment,2025-05-11
RQ061,S030,Extension Approved by Academic Mentor,assignment,2025-04-18
RQ062,S031,Family Emergency,attendance,2025-06-13
RQ063,S031,Family Emergency,meeting,2025-04-02
RQ064,S031,Miscommunication or Delay in Assignment Communication,assignment,2025-05-23
RQ065,S031,Corporate Overwork / High Workload,assignment,2025-05-24
RQ066,S032,Corporate Overwork / High Workload,assignment,2025-04-29
RQ067,S033,Corporate Overwork / High Workload,attendance,2025-06-10
RQ068,S034,Medical Emergency,assignment,2025-05-16
RQ069,S034,Corporate Overwork / High Workload,assignment,2025-04-27
RQ070,S034,Corporate Overwork / High Workload,assignment,2025-05-20
RQ071,S035,Medical Emergency,assignment,2025-04-28
RQ072,S035,Visa or Legal Paperwork Delays,attendance,2025-04-13
RQ073,S035,Corporate Overwork / High Workload,meeting,2025-05-17
RQ074,S036,Corporate Overwork / High Workload,attendance,2025-06-07
RQ075,S036,Medical Emergency,meeting,2025-06-15
RQ076,S037,Family Emergency,attendance,2025-04-04
RQ077,S037,Corporate Overwork / High Workload,attendance,2025-06-02
RQ078,S037,Medical Emergency,meeting,2025-05-17
RQ079,S037,Corporate Overwork / High Workload,assignment,2025-04-19
RQ080,S038,Corporate Overwork / High Workload,attendance,2025-06-15
RQ081,S038,Visa or Legal Paperwork Delays,attendance,2025-05-02
RQ082,S038,Mentor Unavailability / Meeting Canceled by Mentor,meeting,2025-05-03
